# NED name
# SDSS ID in catalog
# RA
# DEC
# CO : Observed at IRAM/30m =O,  Literature=L not observed=N, Literature but reobserved OL
# Detected (Y=1/N=0 unclear=2)]
# HI (Y=1/N=0)
#
# attention certains (rares) ID_SDSS du fichier nasa ne sont pas exactement les ID_SDSS que donne NED
# HI Jy km/s
# H2 mass/Msun
# Reference for H2
                                             RA          DEC        v       CO?   detect HI?  HIJykm/s H2mass
# Filament 1 & Group 5354
       NGC5348    J135411.20+051339.0   13 54 11.27   05 13 38.80   1451     O     1     1    17.4     xxx
       NGC5363    J135607.20+051516.9   13 56 07.21   05 15 17.20   1139     L     1     1     1.9     8.7
       NGC5364    J135612.00+050051.9   13 56 12.00   05 00 52.10   1241     L     1     1    52.3     8.6
       NGC5577    J142113.09+032609.0   14 21 13.11   03 26 08.80   1489     L     1     1    10.5     8.3
        IC1024    J143127.20+030033.0   14 31 27.20   03 00 32.70   1479     L     1     1     9.8     8.6
       NGC5770    J145314.99+035735.0   14 53 15.02   03 57 35.00   1471     L     0     0     0.7    <7.3     
       NGC5839    J150527.50+013804.9   15 05 27.49   01 38 05.30   1220     L     0     N     xxx    <7.4
       NGC5845    J150600.79+013802.0   15 06 00.81   01 38 01.70   1472     L     0     N     xxx    <7.5
       NGC5360    J135539.00+045901.0   13 55 38.75   04 59 06.20   1171     N   xxx     1     0.6     xxx
       NGC5576    J142104.09+031614.0   14 21 03.68   03 16 15.60   1506     L     1     1     0.3     8.2
      UGC09215    J142326.99+014326.0   14 23 27.12   01 43 34.70   1397     O     1     1    20.1     xxx
       NGC5645    J143039.20+071633.9   14 30 39.35   07 16 30.30   1370     L     1     1    21.2     8.5
      UGC09661    J150203.10+015028.0   15 02 03.51   01 50 28.60   1242     N     0     1    1.44     xxx
       NGC5838    J150526.50+020602.0   15 05 26.26   02 05 57.60   1341     L     0     0     0.7     xxx
       UGC6455    J112721.91+400046.9   11 27 21.91   40 00 47.00   2025     N   xxx     1     1.2     xxx
  KUG1032+379B                    xxx   10 35 22.72   37 40 18.00   1697     O     0     1     2.0     xxx
   KUG1127+385    J113033.36+381426.5   11 30 33.37   38 14 26.60   1924     N   xxx     1     1.3     xxx
   KUG1128+358    J113107.42+353522.9   11 31 07.42   35 35 23.10   1880     N   xxx     1     2.0     xxx
   KUG1128+368    J113109.54+363602.7   11 31 09.55   36 36 02.50   1968     N   xxx     1     0.9     xxx
       UGC6326    J111832.07+375653.9   11 18 32.09   37 56 53.90   2106     N   xxx     1     2.9     xxx
SDSSJ112402-69    J112402.68+381311.2   11 24 02.69   38 13 11.20   2243     N   xxx     N     xxx     xxx
  2MAS11270162                    xxx   11 27 01.66   38 55 49.50   1964     N   xxx     N     xxx     xxx
       NGC3595    J111525.19+472648.9   11 15 25.55   47 26 49.30   2177     L     0     N    xxxx   <7.84
  MCG07-24-018    J113035.31+392500.0   11 30 35.32   39 25 00.10   1944     N   xxx     N     xxx     xxx
SDSSJ111646-01    J111646.00+490702.9   11 16 46.02   49 07 02.60   2235     N   xxx     1     0.6     xxx
  MCG07-24-001    J112301.60+383111.8   11 23 01.61   38 31 12.00   1837     N   xxx     N     xxx     xxx

# VirgoIII-rescue
       NGC6186				16 34 25.48   +21 32 27.2   2937     O   1	 1     2.27    xxx
      UGC10413  			16 29 27.13   +21 20 11.7   2986     O   1	 1     19.4    xxx
       NGC6276   			17 00 45.09   +23 02 38.4   2754     N   0	 N     xxx     xxx
       NGC6149   			16 27 24.23   +19 35 49.9   2427     N   0	 N     xxx     xxx 
        IC1131    			15 38 51.70   +12 04 50.3   2017     N   0	 O     0.6     xxx
       NGC6012   			15 54 13.94   +14 36 04.5   1854     N   0	 1     23.     xxx 
       NGC5956   			15 34 58.54   +11 45 01.0   1899     O   1	 1     7.3     xxx
       NGC5951   			15 33 43.06   +15 00 26.2   1780     O   1	 1     21.6    xxx
      UGC09991  			15 43 23.97   +14 26 08.9   1932     O   1	 1     7.8     xxx
      UGC10086  			15 54 41.25   +16 37 01.9   2217     O   1	 N     xxx     xxx
       NGC6181   			16 32 20.96   +19 49 35.6   2375     O   1	 1     32.1    xxx 
       NGC6267   			16 58 08.66   +22 59 06.4   2980     O   1	 1     6.3     xxx
       NGC6278   			17 00 50.33   +23 00 39.7   2832     N   0	 1     1.7     xxx 
      UGC10721  			17 08 25.55   +25 31 02.6   2920     N   0	 1     6.3     xxx
       NGC5953   			15 34 32.38   +15 11 37.6   1965     O   1	 1     7.1     xxx 
       NGC5954   			15 34 35.02   +15 12 00.3   1959     O   1	 1     9.7     xxx 
       NGC5957   			15 35 23.21   +12 02 51.4   1827     O   1	 1     26.     xxx
       NGC5970   			15 38 29.97   +12 11 11.8   1957     O   1	 1     27.7    xxx
        IC1151   			15 58 32.34   +17 26 29.3   2169     O   1	 1     17.5    xxx
      UGC10297  			16 15 28.82   +18 54 17.5   2305     O   1	 1     8.9     xxx

# Chung
       UGC7039	  J120350.56+163316.2	12 03 50.57  +16 33 16.3    2064     N   xxx	 1    9.83     xxx
       UGC7143    J120946.74+250134.4 	12 09 46.74  +25 01 34.5    2573     O   1	 1    8.40     xxx
       NGC4152 	  J121037.50+160158.5 	12 10 37.50  +16 01 58.5    2169     O   1	 1   19.77     xxx
       UGC7186    J121122.33+180100.5	12 11 22.22  +18 01 02.9    2329     N   xxx	 1   11.22     xxx
      PGC38859 	  J121157.75+200140.3	12 11 57.75  +20 01 40.3    2400     N   xxx	 1    4.15     xxx
    PGC1760270 	  J121245.04+260224.2 	12 12 45.04  +26 02 24.2    2567     N   xxx	 1    1.20     xxx
        IC0777    J121923.76+281835.8 	12 19 23.76  +28 18 35.8    2527     O   1	 1    8.14     xxx
       NGC5089    J131939.35+301523.6 	13 19 39.36  +30 15 23.6    2188     O   1	 1    8.32     xxx
       NGC5116 	  J132255.61+265850.6	13 22 55.61  +26 58 50.6    2887     O   1	 1    6.26     xxx
       UGC8409 	  J132300.91+231823.1	13 23 00.86  +23 18 22.9    2855     O   1	 1    8.90     xxx
       NGC5240 	  J133555.19+353517.6	13 35 55.20  +35 35 17.7    2260     O   1	 1    3.66     xxx
       UGC8662 	  J134117.25+334621.4	13 41 17.25  +33 46 21.4    2023     O   0	 1    2.70     xxx

# Rescue 2017
      UGC10854                EQ2000    17 24 46.42  +58 12 20.6    2813     N   0	 1     4.4     xxx
      UGC09570                EQ2000    14 51 35.92  +58 57 13.9    2205     N   0	 1     1.4     xxx
      2MASXJ1505              EQ2000    15 05 35.73  +59 05 37.6    2606     O   1	 N     xxx     xxx
      MRK0847                 EQ2000    15 13 29.18  +58 30 33.7    2540     O   1	 N     xxx     xxx
      SDSSJ151827             EQ2000    15 18 27.07  +58 26 58.9    2555     N   0	 N     xxx     xxx
      NGC5981                 EQ2000    15 37 53.45  +59 23 30.3    1764     N   0	 1     14.5    xxx
      NGC5985                 EQ2000    15 39 37.09  +59 19 55.0    2517     N   0	 1     42.7    xxx
      NGC5989                 EQ2000    15 41 32.80  +59 45 18.8    2878     O   1	 1     3.5     xxx
      SBS1545+593             EQ2000    15 46 24.24  +59 12 55.2    2685     N   0	 1     0.22    xxx
      UGC10247                EQ2000    16 09 25.96  +60 05 17.0    2995     N   0	 1     7.8     xxx
      IC1210                  EQ2000    16 14 30.15  +62 32 12.1    2929     O   1	 1     23.9    xxx
      ARK499                  EQ2000    16 15 02.83  +61 46 55.4    2942     O   1	 N     xxx     xxx
      NGC6306                 EQ2000    17 07 36.98  +60 43 44.0    2973     N   0	 1     1.2     xxx
      UGC10968                EQ2000    17 44 10.45  +57 59 16.4    2855     N   0	 1     3.6     xxx
      UGC09556                EQ2000    14 49 46.09  +60 23 54.7    2324     N   0	 1     11.6    xxx
      NGC5777                 EQ2000    14 51 17.85  +58 58 40.6    2145     N   0	 1     34.6    xxx
      NGC5894                 EQ2000    15 11 40.98  +59 48 32.2    2466     N   0	 1     14.1    xxx
